1,0,534.23,265.35,117.44,330.94,-1,-1,-1,-1
1,1,396.91,284.11,123.58,312.81,-1,-1,-1,-1
1,2,907.81,177.34,250.52,604.93,-1,-1,-1,-1
1,3,793.57,328.23,40.24,122.76,-1,-1,-1,-1
1,4,742.00,327.89,43.78,124.56,-1,-1,-1,-1
2,0,526.42,258.69,125.68,348.22,-1,-1,-1,-1
2,1,390.28,285.84,117.77,312.81,-1,-1,-1,-1
2,2,891.06,146.29,258.84,636.79,-1,-1,-1,-1
2,3,791.55,325.35,45.06,135.21,-1,-1,-1,-1
2,4,736.36,318.92,45.73,131.43,-1,-1,-1,-1
3,0,524.48,276.99,113.34,322.63,-1,-1,-1,-1
3,1,383.03,284.00,121.17,312.16,-1,-1,-1,-1
3,2,878.09,152.81,266.06,649.48,-1,-1,-1,-1
3,3,791.53,327.62,42.15,126.12,-1,-1,-1,-1
3,4,731.36,319.15,50.33,138.83,-1,-1,-1,-1
4,0,515.98,278.08,107.87,308.80,-1,-1,-1,-1
4,1,374.33,282.62,121.24,317.02,-1,-1,-1,-1
4,2,884.63,166.11,257.44,644.92,-1,-1,-1,-1
4,3,789.52,327.85,42.88,127.54,-1,-1,-1,-1
4,5,688.89,338.83,38.95,117.22,-1,-1,-1,-1
4,4,727.86,317.67,51.46,142.37,-1,-1,-1,-1
5,0,518.82,280.86,103.84,298.64,-1,-1,-1,-1
5,1,372.63,277.09,119.63,323.76,-1,-1,-1,-1
5,2,872.37,156.38,255.21,657.73,-1,-1,-1,-1
5,3,785.73,328.64,41.66,124.21,-1,-1,-1,-1
5,4,725.05,315.95,53.22,145.99,-1,-1,-1,-1
5,5,686.80,340.14,39.28,116.50,-1,-1,-1,-1
6,0,515.63,278.90,104.97,302.28,-1,-1,-1,-1
6,1,363.71,263.03,129.73,346.10,-1,-1,-1,-1
6,2,868.96,141.95,258.54,674.18,-1,-1,-1,-1
6,3,782.89,325.84,44.36,130.54,-1,-1,-1,-1
6,4,723.13,314.08,50.07,143.74,-1,-1,-1,-1
6,5,684.63,340.77,38.95,114.22,-1,-1,-1,-1
7,0,513.52,281.29,105.51,303.27,-1,-1,-1,-1
7,1,357.17,259.34,133.17,358.01,-1,-1,-1,-1
7,2,858.63,137.81,268.57,686.54,-1,-1,-1,-1
7,3,780.82,324.85,46.19,134.59,-1,-1,-1,-1
7,4,722.55,313.06,50.66,145.10,-1,-1,-1,-1
7,5,682.12,341.87,39.24,112.56,-1,-1,-1,-1
8,0,508.70,287.66,104.11,300.05,-1,-1,-1,-1
8,1,350.30,257.36,133.40,357.07,-1,-1,-1,-1
8,2,860.08,137.68,268.55,682.39,-1,-1,-1,-1
8,3,779.26,324.87,45.57,133.28,-1,-1,-1,-1
8,4,715.17,317.24,53.48,148.41,-1,-1,-1,-1
8,5,680.50,340.95,38.34,113.11,-1,-1,-1,-1
8,6,834.27,332.71,38.98,118.13,-1,-1,-1,-1
9,0,498.96,284.32,107.21,302.92,-1,-1,-1,-1
9,1,344.54,258.97,132.94,354.69,-1,-1,-1,-1
9,2,857.67,141.75,266.45,676.76,-1,-1,-1,-1
9,3,777.40,326.43,45.83,134.22,-1,-1,-1,-1
9,4,711.46,317.52,52.97,145.45,-1,-1,-1,-1
9,5,679.94,338.97,39.22,115.05,-1,-1,-1,-1
9,6,839.65,324.96,42.98,130.76,-1,-1,-1,-1
10,0,492.84,283.66,108.90,303.06,-1,-1,-1,-1
10,1,343.24,264.00,128.69,351.46,-1,-1,-1,-1
10,2,860.53,141.82,262.03,664.69,-1,-1,-1,-1
10,3,775.11,328.78,46.89,137.37,-1,-1,-1,-1
10,4,709.88,316.76,54.22,150.33,-1,-1,-1,-1
10,5,677.95,339.75,40.25,118.82,-1,-1,-1,-1
10,6,834.32,334.43,41.27,118.28,-1,-1,-1,-1
11,0,488.38,287.24,109.80,303.11,-1,-1,-1,-1
11,1,339.40,267.46,129.64,360.58,-1,-1,-1,-1
11,2,862.74,148.90,264.78,659.60,-1,-1,-1,-1
11,3,771.44,330.38,48.73,140.81,-1,-1,-1,-1
11,4,705.50,319.20,54.95,151.38,-1,-1,-1,-1
11,5,673.02,340.38,40.02,118.33,-1,-1,-1,-1
11,6,829.29,339.74,41.84,118.24,-1,-1,-1,-1
12,0,485.25,296.43,110.90,303.16,-1,-1,-1,-1
12,1,335.84,265.85,129.83,361.32,-1,-1,-1,-1
12,2,845.36,153.01,256.13,642.59,-1,-1,-1,-1
12,3,771.64,331.01,49.27,142.12,-1,-1,-1,-1
12,4,703.05,322.16,54.21,149.86,-1,-1,-1,-1
12,5,672.11,346.19,38.98,115.18,-1,-1,-1,-1
12,6,828.29,343.59,37.51,110.26,-1,-1,-1,-1
13,0,479.97,295.95,113.84,315.01,-1,-1,-1,-1
13,1,333.11,267.99,129.08,359.41,-1,-1,-1,-1
13,2,854.03,163.06,249.44,644.61,-1,-1,-1,-1
13,3,769.06,331.88,49.73,143.41,-1,-1,-1,-1
13,4,699.64,320.47,57.26,152.63,-1,-1,-1,-1
13,5,670.28,348.14,39.08,114.40,-1,-1,-1,-1
13,6,827.55,344.10,37.28,109.59,-1,-1,-1,-1
14,0,475.70,290.08,118.20,327.14,-1,-1,-1,-1
14,1,329.31,268.79,129.13,361.82,-1,-1,-1,-1
14,2,854.09,163.96,250.41,652.15,-1,-1,-1,-1
14,3,768.28,331.09,49.45,143.90,-1,-1,-1,-1
14,4,699.08,320.89,58.82,153.80,-1,-1,-1,-1
14,5,668.80,347.10,39.00,114.02,-1,-1,-1,-1
14,6,828.87,344.83,37.49,109.32,-1,-1,-1,-1
15,0,470.71,288.69,119.95,332.56,-1,-1,-1,-1
15,1,324.01,269.46,134.19,373.22,-1,-1,-1,-1
15,2,854.41,163.20,252.72,659.81,-1,-1,-1,-1
15,3,767.72,329.78,48.32,142.17,-1,-1,-1,-1
15,4,699.25,320.87,59.67,155.80,-1,-1,-1,-1
15,5,670.46,349.79,38.04,111.43,-1,-1,-1,-1
15,6,830.35,346.59,37.69,108.61,-1,-1,-1,-1
16,0,469.39,284.71,120.81,339.68,-1,-1,-1,-1
16,1,318.18,269.58,137.98,377.60,-1,-1,-1,-1
